max iter: 1000 size: 100
----- l = 0.01
"2" "3" "4" "5"
"1" 1 18 7 0
"2" 1 118 74 2
"3" 2 1116 787 8
"4" 0 474 1975 92
"5" 0 39 727 202
"6" 0 5 120 46
"7" 0 0 0 3
----- l = 0.02
"2" "3" "4" "5" "6"
"1" 1 15 9 0 1
"2" 3 116 75 1 0
"3" 2 1094 810 6 1
"4" 2 372 2112 55 0
"5" 0 20 770 178 0
"6" 0 0 133 38 0
"7" 0 0 1 2 0
----- l = 0.03
"2" "3" "4" "5" "6"
"1" 0 14 11 1 0
"2" 3 122 69 1 0
"3" 1 1276 622 14 0
"4" 0 474 1926 141 0
"5" 0 31 637 299 1
"6" 0 4 115 52 0
"7" 0 0 1 2 0
----- l = 0.04
"2" "3" "4" "5" "6"
"1" 0 16 8 2 0
"2" 9 118 67 1 0
"3" 1 1279 617 16 0
"4" 2 431 1998 110 0
"5" 0 36 642 290 0
"6" 0 3 118 49 1
"7" 0 0 1 2 0
----- l = 0.05
"2" "3" "4" "5"
"1" 0 13 12 1
"2" 8 125 60 2
"3" 3 1274 580 56
"4" 3 440 1773 325
"5" 0 42 458 468
"6" 0 1 73 97
"7" 0 0 0 3
----- l = 0.06
"2" "3" "4" "5" "6"
"1" 0 14 9 2 1
"2" 7 128 57 3 0
"3" 6 1286 584 36 1
"4" 2 442 1872 225 0
"5" 0 55 455 457 1
"6" 0 5 84 78 4
"7" 0 0 0 3 0
----- l = 0.07
"2" "3" "4" "5" "6"
"1" 0 16 6 4 0
"2" 6 134 53 2 0
"3" 0 1438 433 42 0
"4" 2 577 1699 261 2
"5" 0 60 409 494 5
"6" 0 10 53 94 14
"7" 0 0 0 2 1
----- l = 0.08
"2" "3" "4" "5" "6"
"1" 0 16 9 0 1
"2" 14 95 86 0 0
"3" 6 1140 753 13 1
"4" 1 333 2134 73 0
"5" 0 27 670 270 1
"6" 0 2 125 43 1
"7" 0 0 1 1 1
----- l = 0.09
"2" "3" "4" "5" "6"
"1" 3 10 12 1 0
"2" 13 100 77 5 0
"3" 7 1092 784 30 0
"4" 2 292 2062 185 0
"5" 0 20 497 451 0
"6" 0 0 98 69 4
"7" 0 0 1 2 0
----- l = 0.1
