max iter: 1000 size: 100
----- l = 0.01
"3" "4" "5"
"1" 9 1 0
"2" 36 14 1
"3" 456 142 2
"4" 188 363 19
"5" 13 129 42
"6" 0 10 5
----- l = 0.02
"3" "4" "5"
"1" 9 1 0
"2" 38 13 0
"3" 455 140 5
"4" 188 341 41
"5" 15 106 63
"6" 0 8 7
----- l = 0.03
"3" "4" "5"
"1" 10 0 0
"2" 44 7 0
"3" 515 73 12
"4" 258 257 55
"5" 19 70 95
"6" 1 5 9
----- l = 0.04
"1" "2" "3" "4" "5"
"1" 1 0 8 1 0
"2" 0 3 35 13 0
"3" 0 0 448 146 6
"4" 0 1 132 407 30
"5" 0 0 8 98 78
"6" 0 0 0 8 7
----- l = 0.05
"2" "3" "4" "5"
"1" 1 9 0 0
"2" 0 44 7 0
"3" 0 484 102 14
"4" 0 158 358 54
"5" 0 10 70 104
"6" 0 1 5 9
----- l = 0.06
"2" "3" "4" "5" "6"
"1" 0 10 0 0 0
"2" 1 42 8 0 0
"3" 0 525 73 2 0
"4" 1 184 377 8 0
"5" 0 18 97 69 0
"6" 0 1 12 1 1
----- l = 0.07
"1" "2" "3" "4" "5"
"1" 1 0 8 1 0
"2" 0 1 32 17 1
"3" 0 0 457 134 9
"4" 0 0 90 459 21
"5" 0 0 9 88 87
"6" 0 0 1 6 8
----- l = 0.08
"1" "2" "3" "4" "5" "6"
"1" 1 0 8 1 0 0
"2" 0 1 45 5 0 0
"3" 0 0 512 84 4 0
"4" 0 0 154 390 26 0
"5" 0 0 12 74 98 0
"6" 0 0 3 6 5 1
----- l = 0.09
"1" "2" "3" "4" "5"
"1" 2 0 8 0 0
"2" 0 3 34 13 1
"3" 0 0 491 93 16
"4" 0 1 105 412 52
"5" 0 0 9 55 120
"6" 0 0 1 4 10
----- l = 0.1
"1" "2" "3" "4" "5" "6"
"1" 2 0 4 4 0 0
"2" 0 0 24 27 0 0
"3" 0 1 406 193 0 0
"4" 0 0 55 508 7 0
"5" 0 0 3 124 57 0
"6" 0 0 1 10 3 1
----- l = 0.11
"1" "2" "3" "4" "5" "6"
"1" 1 0 6 2 1 0
"2" 0 5 24 20 2 0
"3" 0 2 451 136 11 0
"4" 0 1 49 504 15 1
"5" 0 0 6 71 107 0
"6" 0 0 0 11 4 0
----- l = 0.12
"1" "2" "3" "4" "5" "6"
"1" 1 0 8 1 0 0
"2" 0 4 33 14 0 0
"3" 0 1 477 115 7 0
"4" 0 2 77 471 20 0
"5" 0 0 9 60 115 0
"6" 0 0 2 3 8 2
----- l = 0.13
"1" "2" "3" "4" "5" "6"
"1" 1 0 5 4 0 0
"2" 0 2 24 25 0 0
"3" 0 0 439 159 2 0
"4" 0 0 59 501 10 0
"5" 0 0 3 92 89 0
"6" 0 0 0 12 2 1
----- l = 0.14
"1" "2" "3" "4" "5" "6"
"1" 2 0 7 1 0 0
"2" 0 3 34 11 3 0
"3" 0 1 537 49 13 0
"4" 0 1 160 370 39 0
"5" 0 0 17 36 131 0
"6" 0 0 1 2 10 2
----- l = 0.15
"1" "2" "3" "4" "5" "6"
"1" 3 0 6 1 0 0
"2" 0 5 25 18 3 0
"3" 0 1 487 104 8 0
"4" 0 0 73 477 20 0
"5" 0 0 12 46 126 0
"6" 0 0 0 3 9 3
----- l = 0.16
"1" "2" "3" "4" "5" "6"
"1" 3 0 6 1 0 0
"2" 0 5 32 11 3 0
"3" 1 0 499 92 8 0
"4" 0 0 93 446 31 0
"5" 0 0 9 46 129 0
"6" 0 0 1 6 7 1
----- l = 0.17
"1" "2" "3" "4" "5" "6"
"1" 2 0 7 1 0 0
"2" 0 5 25 19 2 0
"3" 0 1 511 83 5 0
"4" 0 0 88 467 15 0
