max iter: 1000 size: 100
----- l = 0.01
"2" "3" "4" "5" "6"
"1" 0 8 6 1 1
"2" 12 84 46 2 0
"3" 4 813 486 10 0
"4" 2 400 1445 124 0
"5" 0 46 516 222 0
"6" 0 6 98 52 0
"7" 0 0 0 3 0
----- l = 0.02
"2" "3" "4" "5"
"1" 0 6 10 0
"2" 17 60 66 1
"3" 7 570 732 4
"4" 1 169 1739 62
"5" 0 8 600 176
"6" 0 0 115 41
"7" 0 0 0 3
----- l = 0.03
"2" "3" "4" "5"
"1" 1 11 4 0
"2" 24 90 30 0
"3" 11 1030 265 7
"4" 3 583 1302 83
"5" 0 94 449 241
"6" 0 9 100 47
"7" 0 0 1 2
----- l = 0.04
"2" "3" "4" "5" "6"
"1" 1 7 6 2 0
"2" 29 72 41 2 0
"3" 9 910 351 42 1
"4" 1 340 1361 269 0
"5" 0 38 334 412 0
"6" 0 2 61 90 3
"7" 0 0 0 3 0
----- l = 0.05
"2" "3" "4" "5" "6"
"1" 1 9 6 0 0
"2" 22 55 66 1 0
"3" 7 706 589 11 0
"4" 2 146 1727 96 0
"5" 1 16 475 292 0
"6" 0 1 106 48 1
"7" 0 0 1 2 0
----- l = 0.06
"2" "3" "4" "5" "6"
"1" 0 7 7 1 1
"2" 30 61 52 1 0
"3" 8 816 473 15 1
"4" 1 218 1638 114 0
"5" 0 33 415 336 0
"6" 0 2 85 66 3
"7" 0 0 1 1 1
----- l = 0.07
"2" "3" "4" "5" "6"
"1" 0 8 8 0 0
"2" 36 68 39 1 0
"3" 7 913 380 12 1
"4" 2 272 1625 72 0
"5" 1 47 434 301 1
"6" 0 4 88 54 10
"7" 0 0 1 2 0
----- l = 0.08
"2" "3" "4" "5" "6"
"1" 0 9 7 0 0
"2" 39 62 40 3 0
"3" 9 846 438 20 0
"4" 4 215 1607 145 0
"5" 1 33 377 370 3
"6" 0 3 77 67 9
"7" 0 0 1 2 0
----- l = 0.09
"2" "3" "4" "5" "6"
"1" 0 12 2 1 1
"2" 29 93 17 4 1
"3" 5 1068 212 27 1
